,tweet_id,favorite_count,retweet_count,retweet_status,url
0,892420643555336193,34189,7092,Original tweet,https://t.co/MgUWQ76dJU
1,892177421306343426,29642,5345,Original tweet,https://t.co/0Xxu71qeIV
2,891815181378084864,22322,3517,Original tweet,https://t.co/wUnZnhtVJB
3,891689557279858688,37358,7295,Original tweet,https://t.co/tD36da7qLQ
4,891327558926688256,35706,7833,Original tweet,https://t.co/AtUZn91f7f
5,891087950875897856,18022,2634,Original tweet,https://t.co/kQ04fDDRmh
6,890971913173991426,10490,1686,Original tweet,https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl
7,890729181411237888,57486,15946,Original tweet,https://t.co/v0nONBcwxq
8,890609185150312448,24809,3661,Original tweet,https://t.co/9TwLuAGH0b
9,890240255349198849,28279,6160,Original tweet,https://t.co/t1bfwz5S2A
10,890006608113172480,27324,6220,Original tweet,https://t.co/dVPW0B0Mme
11,889880896479866881,24860,4214,Original tweet,https://t.co/u1XPQMl29g
12,889665388333682689,42524,8443,Original tweet,https://t.co/BxvuXk0UCm
13,889638837579907072,23931,3755,Original tweet,https://t.co/f8dEDcrKSR
14,889531135344209921,13499,1897,Original tweet,https://t.co/y70o6h3isq
15,889278841981685760,22360,4490,Original tweet,https://t.co/WpHvrQedPb
16,888917238123831296,25928,3801,Original tweet,https://t.co/chxruIOUJN
17,888804989199671297,22725,3585,Original tweet,https://t.co/HTQ77yNQ5K
18,888554962724278272,17531,2910,Original tweet,https://t.co/YnYAFCTTiK
19,888078434458587136,19377,2932,Original tweet,https://t.co/DK7iDPfuRX
20,887705289381826560,26918,4574,Original tweet,https://t.co/PhrUk20Q64
21,887517139158093824,41197,9945,Original tweet,https://t.co/20VrLAA8ba
22,887473957103951883,60859,15185,Original tweet,https://t.co/cLyzpcUcMX
23,887343217045368832,29917,8908,Original tweet,https://t.co/WZqNqygEyV
24,887101392804085760,27278,5043,Original tweet,https://t.co/4Ad1jzJSdp
25,886983233522544640,30728,6404,Original tweet,https://t.co/I6oNy0CgiT
26,886736880519319552,10611,2664,Original tweet,https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b
27,886680336477933568,19963,3772,Original tweet,https://t.co/BCoWue0abA
28,886366144734445568,18756,2663,Original tweet,https://t.co/RGE08MIJox
29,886267009285017600,104,3,Original tweet,n
30,886258384151887873,24810,5343,Original tweet,https://t.co/xZDA9Qsq1O
31,886054160059072513,0,93,Original tweet,https://t.co/WxwJmvjfxo
32,885984800019947520,28916,5680,Original tweet,https://t.co/BuveP0uMF1
33,885528943205470208,31944,5391,Original tweet,https://t.co/tp1kQ8i9JF
